Group,ID1,ID2,TotalP1,TotalP2,TotalMax,TotalP1_v2,TotalP2_v2,TotalMax_v2,TotalGroup,TotalGroup_v2,SameWords,UniqueWords,SimilarityRatio,DiversityRatio,CollectiveBenefit,SimilarityRatio_v2,CollectiveBenefit_v2,CollectiveBenefitHard,TotalP1_r3,TotalP2_r3,TotalP1_r3_v2,TotalP2_r3_v2,TotalMax_r3,UniqueWords_r3,SimilarityRatio_r3,DiversityRatio_r3,Year
1701,PD10ylWZp,si0FYVWjZ,51,10,51,0.7993032310871528,0.271651478688095,0.7993032310871528,28,0.4417112985132432,9,52,0.19607843137254902,5.777777777777778,0.5490196078431373,0.3398603535214225,0.5526204340653801,0.5384615384615384,54,20,0.61220849560734,0.2705931997158337,54,54,0.37037037037037035,3.375,17
1708,j19tRRn6g,4wY2V4mPJ,17,51,51,0.3978257797933991,0.7616538077572023,0.7616538077572023,42,0.5946519555800346,12,51,0.3333333333333333,4.25,0.8235294117647058,0.5223183758049521,0.7807378490380973,0.8235294117647058,42,78,0.5212974035502337,0.7537701795293812,78,75,0.5384615384615384,2.5,17
1713,Mw6MtY5NL,hLPVVyqES,30,31,31,0.5816231360536733,0.581623136053673,0.5816231360536733,33,0.48556882119052786,16,43,0.967741935483871,2.6875,1.064516129032258,0.9999999999999994,0.8348512827139645,0.7674418604651163,48,67,0.5679005354639087,0.663910102291819,67,68,0.7164179104477612,2.125,17
1710,kv7woxXij,YI8tQIzuZ,33,32,33,0.6199848522070117,0.5816231360536731,0.6199848522070117,30,0.4417112985132432,15,47,0.9696969696969697,3.1333333333333333,0.9090909090909091,0.9381247525374544,0.7124549848933353,0.6382978723404256,49,61,0.5212974035502337,0.6539163669430144,61,66,0.8032786885245902,2,17
1709,Dnlc8XFwp,R7k2e6z0x,41,41,41,0.6773420439696118,0.6553607112648995,0.6773420439696118,34,0.48556882119052786,19,56,1,2.9473684210526314,0.8292682926829268,0.9675476623658422,0.7168738830160561,0.6071428571428571,70,52,0.6833592559209835,0.5448631925853059,70,65,0.7428571428571429,1.4444444444444444,17
1711,p0yux6HST,L8yLWmapE,20,47,47,0.44817788411537623,0.7448576686404569,0.7448576686404569,31,0.48556882119052786,9,55,0.425531914893617,6.111111111111111,0.6595744680851063,0.6016960058065964,0.6518947735032479,0.5636363636363636,44,68,0.5331432058646509,0.6639101022918192,68,62,0.6470588235294118,1.7714285714285714,17
1705,dihPkZb68,FVdYePgRn,29,33,33,0.55435006370036,0.5543500637003598,0.55435006370036,28,0.45646358000231835,16,40,0.8787878787878788,2.5,0.8484848484848485,0.9999999999999996,0.8234211735367424,0.7,65,43,0.6833592559209835,0.5212974035502337,65,66,0.6615384615384615,1.8333333333333333,17
1707,pMCA1lGxF,m5ebeoKcZ,26,31,31,0.5108706061683429,0.5257058536189961,0.5257058536189961,39,0.5946519555800345,8,41,0.8387096774193549,5.125,1.2580645161290323,0.9717803266816865,1.1311495801053166,0.9512195121951219,56,53,0.5792061922052362,0.6013649359115053,56,64,0.9464285714285714,1.7297297297297298,17
1712,2vw9XU6V1,vh0EnMZXi,20,44,44,0.4481778841153764,0.717646501016235,0.717646501016235,36,0.5553256406131388,15,46,0.45454545454545453,3.066666666666667,0.8181818181818182,0.6245106518052089,0.7738150187129191,0.782608695652174,47,71,0.5679005354639086,0.7456221150420238,71,79,0.6619718309859155,2.7241379310344827,17
1706,3TaWq8jEJ,1HBP7hSbY,44,38,44,0.6980889262977595,0.6878670421688124,0.6980889262977595,40,0.6072861296870554,18,60,0.8636363636363636,3.3333333333333335,0.9090909090909091,0.9853573323628585,0.8699266050641039,0.6666666666666666,50,52,0.5679005354639087,0.5212974035502338,52,55,0.9615384615384616,1.6176470588235294,17
2101,a5UYl3wxe,WoEjDH82O,7,20,20,0.2157215268694307,0.44817788411537623,0.44817788411537623,27,0.4417112985132432,4,23,0.35,5.75,1.35,0.4813301470580744,0.9855713862032774,1.173913043478261,22,40,0.29575655569413334,0.5212974035502337,40,47,0.55,3.1333333333333333,21
2103,6vuLUuDWM,uaSXxrMOY,31,15,31,0.6075341174763791,0.3628429349401448,0.6075341174763791,16,0.2765963142347171,6,40,0.4838709677419355,6.666666666666667,0.5161290322580645,0.5972387796875492,0.45527700630816204,0.4,21,15,0.28314375879277465,0.20918349026796562,21,32,0.7142857142857143,8,21
2104,Upg0wEy9J,cUGZHhDSo,36,23,36,0.6665083756330709,0.49569592856219735,0.6665083756330709,21,0.35154315731564706,9,50,0.6388888888888888,5.555555555555555,0.5833333333333334,0.7437204792683506,0.5274399695003685,0.42,34,41,0.4479813197353437,0.5331432058646509,41,57,0.8292682926829268,3.1666666666666665,21
2105,g95IvUSeU,JHNjgStbK,24,23,24,0.5108706061683429,0.4956959285621976,0.5108706061683429,46,0.6885504846751578,8,39,0.9583333333333334,4.875,1.9166666666666667,0.9702964362738361,1.3477982024439776,1.1794871794871795,49,52,0.6228891001019888,0.6539163669430141,52,71,0.9423076923076923,2.3666666666666667,21
2106,k4nq6UVgp,C89Vecc2O,12,8,12,0.30862924771012,0.23436051653462078,0.30862924771012,12,0.2189865201139264,6,14,0.6666666666666666,2.3333333333333335,1,0.7593593875935695,0.7095455849978595,0.8571428571428571,11,12,0.16240082258577354,0.17384990735294922,12,20,0.9166666666666666,6.666666666666667,21
2107,FvVbmkBBD,Kn0cCaj4u,26,35,35,0.5401993905547414,0.6553607112648997,0.6553607112648997,34,0.5417685824002985,11,50,0.7428571428571429,4.545454545454546,0.9714285714285714,0.8242779606243292,0.8266723547626785,0.68,47,39,0.6013649359115053,0.5093325210364902,47,65,0.8297872340425532,3.0952380952380953,21
2108,FRYzZw1Ub,CttktEMMg,16,10,16,0.3804650836705213,0.2716514786880953,0.3804650836705213,36,0.5686643006280125,4,22,0.625,5.5,2.25,0.7139984464996073,1.4946556859879152,1.6363636363636365,58,40,0.7111601536895452,0.5212974035502336,58,64,0.6896551724137931,1.8823529411764706,21
2109,LAaCjd7tJ,qgw6bQkrN,16,11,16,0.3804650836705214,0.2902011393023695,0.3804650836705214,23,0.3817819811201456,4,23,0.6875,5.75,1.4375,0.7627536711192151,1.0034612833243974,1,21,13,0.28314375879277454,0.18547228833636212,21,29,0.6190476190476191,5.8,21
2110,FmEmWzqKK,39EyuAf1i,15,29,29,0.3628429349401448,0.5816231360536733,0.5816231360536733,34,0.5417685824002983,6,38,0.5172413793103449,6.333333333333333,1.1724137931034482,0.6238454291932791,0.9314770146115764,0.8947368421052632,39,35,0.5093325210364904,0.4604287930435459,39,51,0.8974358974358975,2.217391304347826,21
2111,5ynij1T9j,yWzDCLooF,26,10,26,0.5401993905547413,0.27165147868809497,0.5401993905547413,29,0.47108811072343043,4,32,0.38461538461538464,8,1.1153846153846154,0.5028726122943803,0.8720633880013468,0.90625,21,20,0.28314375879277465,0.27059319971583384,21,37,0.9523809523809523,9.25,21
2112,Ou8JAFgEb,HHU8djFwO,12,24,24,0.30862924771011996,0.5108706061683429,0.5108706061683429,25,0.41189292298081653,5,31,0.5,6.2,1.0416666666666667,0.6041241049762412,0.806256844703038,0.8064516129032258,23,30,0.308420196604055,0.3975650943836446,30,36,0.7666666666666667,2.1176470588235294,21
2113,zG9pawOo0,hldW6RvV6,22,15,22,0.48018535976396576,0.3628429349401448,0.48018535976396576,34,0.5417685824002983,6,31,0.6818181818181818,5.166666666666667,1.5454545454545454,0.7556309819993254,1.1282488551225378,1.096774193548387,52,39,0.6539163669430139,0.5093325210364902,52,63,0.75,2.25,21
2114,hOAe0tvv2,F8IRzqaD7,38,34,38,0.6878670421688127,0.643893997361399,0.6878670421688127,60,0.8127111793693675,20,52,0.8947368421052632,2.6,1.5789473684210527,0.936073336689066,1.181494576054883,1.1538461538461537,74,48,0.8313502221772684,0.61220849560734,74,86,0.6486486486486487,2.388888888888889,21
